egg.count,egg.dens,b.depth,lat,lon,time,salinity,flow,s.depth,temp.surf,temp.20m,net.area,country,vessel,vessel.haul,c.dist
0,0,4342,44.57,-4.65,8.23,35.72,417,104,15,15,0.242,SP,COSA,22,0.839514118
0,0,4334,44.57,-4.48,9.68,35.74,405,98,15.4,15.4,0.242,SP,COSA,23,0.859192634
0,0,4286,44.57,-4.3,10.9,35.74,377,101,15.9,15.9,0.242,SP,COSA,24,0.89301529
1,18.26,1438,44.02,-2.87,19.33,35.68,420,98,16.6,16.6,0.242,SP,COSA,93,0.395640869
4,90.16,166,44.02,-2.07,8.78,NA,354,101,16.7,16.7,0.242,SP,COSA,178,0.040008824
3,62.93,460,44.02,-2.13,9.42,35.17,373,100,16.6,16.6,0.242,SP,COSA,179,0.097423446
0,0,810,44.02,-2.27,10.53,NA,375,100,17.1,17.1,0.242,SP,COSA,181,0.236256657
1,23,887,44.02,-2.35,11,35.26,364,102,17.1,17.1,0.242,SP,COSA,182,0.316052431
0,0,946,44.02,-2.42,11.42,NA,375,100,17.3,17.3,0.242,SP,COSA,183,0.385943104
0,0,1012,44.02,-2.48,12,NA,362,100,16.9,16.9,0.242,SP,COSA,184,0.425422376
0,0,1011,44.12,-2.48,13.27,35.41,379,101,16.1,16.1,0.242,SP,COSA,185,0.461203178
0,0,969,44.12,-2.33,14.67,35.09,322,103,17.4,17.4,0.242,SP,COSA,186,0.318548345
0,0,929,44.12,-2.27,15.18,35.04,406,96,17.3,17.3,0.242,SP,COSA,187,0.262246582
2,36.35,847,44.12,-2.2,15.75,NA,416,93,17,17,0.242,SP,COSA,188,0.196561191
0,0,704,44.12,-2.13,16.27,NA,398,95,17.1,17.1,0.242,SP,COSA,189,0.130875799
1,19.3,266,44.12,-2.07,16.9,35.05,409,98,16.9,16.9,0.242,SP,COSA,190,0.074574036
3,58.71,181,44.37,-2.07,5.67,NA,411,98,17.1,17.1,0.242,SP,COSA,228,0.073706918
1,19.16,467,44.37,-2.13,6.25,35.13,432,99,17.3,17.3,0.242,SP,COSA,229,0.130851142
0,0,696,44.37,-2.2,7.17,NA,441,99,17.1,17.1,0.242,SP,COSA,230,0.197996723
0,0,1012,44.37,-2.35,8.08,35.6,440,96,17.1,17.1,0.242,SP,COSA,231,0.345487318
0,0,1335,44.62,-2.35,10.83,35.68,487,95,16.9,16.9,0.242,SP,COSA,232,0.342306709
0,0,922,44.62,-2.27,16.42,NA,431,101,17.5,17.5,0.242,SP,COSA,236,0.262306709
0,0,606,44.62,-2.18,17.17,NA,392,100,17.7,17.7,0.242,SP,COSA,237,0.172306709
0,0,539,44.62,-2.13,17.68,35.56,418,101,17.7,17.7,0.242,SP,COSA,238,0.122306709
2,42.46,883,44.62,-2.07,18.33,NA,409,101,17.6,17.6,0.242,SP,COSA,239,0.062306709
1,21.26,135,44.87,-2.07,8.58,35.41,405,102,17.4,17.4,0.242,SP,COSA,262,0.026874138
0,0,147,44.88,-2.13,9.25,NA,375,102,17.6,17.6,0.242,SP,COSA,263,0.039590803
0,0,268,44.87,-2.2,9.75,35.64,368,103,17.3,17.3,0.242,SP,COSA,264,0.080691085
1,19.81,783,44.87,-2.27,10.25,NA,435,105,17.1,17.1,0.242,SP,COSA,265,0.130425685
0,0,1892,44.87,-2.35,10.75,35.65,407,100,17.2,17.2,0.242,SP,COSA,266,0.193702968
0,0,2034,44.87,-2.42,11.58,NA,398,101,17.3,17.3,0.242,SP,COSA,267,0.229964598
0,0,2580,44.87,-2.48,12.08,NA,413,101,17.3,17.3,0.242,SP,COSA,268,0.249296156
0,0,2709,44.87,-2.55,12.58,35.54,399,101,17.1,17.1,0.242,SP,COSA,269,0.271376999
0,0,2681,44.87,-2.62,13.33,NA,386,104,17.3,17.3,0.242,SP,COSA,270,0.282334474
0,0,2879,44.87,-2.7,13.92,NA,413,104,17.2,17.2,0.242,SP,COSA,271,0.311043345
0,0,2852,44.87,-2.77,14.4,35.68,410,101,17.7,17.7,0.242,SP,COSA,272,0.319918833
0,0,3158,44.87,-2.83,14.95,NA,404,101,17.4,17.4,0.242,SP,COSA,273,0.323918808
0,0,2943,44.87,-2.9,15.6,NA,401,100,17.4,17.4,0.242,SP,COSA,274,0.337679344
0,0,3097,44.87,-2.97,16.1,35.68,429,101,17.7,17.7,0.242,SP,COSA,275,0.352667442
0,0,2249,44.98,-3.12,17.75,35.68,375,104,17.6,17.6,0.242,SP,COSA,276,0.306309393
0,0,1202,45.12,-3.27,19,35.68,402,101,17.1,17.1,0.242,SP,COSA,277,0.299633078
0,0,964,45.12,-3.2,23.62,NA,420,104,17,17,0.242,SP,COSA,278,0.25043122
0,0,161,45.12,-3.13,0.25,NA,416,101,17.3,17.3,0.242,SP,COSA,279,0.208877478
0,0,1039,45.12,-3.05,0.78,35.69,406,102,17.2,17.2,0.242,SP,COSA,280,0.153412199
1,21.96,242,45.12,-2.98,1.28,NA,396,104,17.3,17.3,0.242,SP,COSA,281,0.115707411
2,41.69,1159,45.12,-2.92,1.83,NA,413,102,17.4,17.4,0.242,SP,COSA,282,0.098536924
0,0,155,45.12,-2.85,2.33,35.68,415,97,17.1,17.1,0.242,SP,COSA,283,0.086699115
4,93.63,156,45.12,-2.77,3.08,NA,361,102,17.2,17.2,0.242,SP,COSA,284,0.070439518
0,0,306,45.12,-2.7,3.62,NA,403,101,17.3,17.3,0.242,SP,COSA,285,0.061408246
1,22.3,126,45.12,-2.63,4.12,35.66,390,104,17.3,17.3,0.242,SP,COSA,286,0.056802576
0,0,127,45.12,-2.55,4.68,NA,392,103,17.1,17.1,0.242,SP,COSA,287,0.02325074
0,0,125,45.12,-2.48,5.2,NA,405,98,17.1,17.1,0.242,SP,COSA,288,0.014696479
0,0,126,45.12,-2.42,5.72,35.55,373,101,17.5,17.5,0.242,SP,COSA,289,0.000336713
